备货单号,第三方单号,运输方式,发货仓,中转仓,收货仓,备货单状态,sku,第三方sku,品类,箱号,装箱数量,分配的收货数量,成本价,创建人,销售部门,发货时间,整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_XL,TEH001737_K_XL,服装/服饰配件->女装->女式->外套,9634328,3,,55,田青玉,,"2024-08-20 17:59:31",整箱未上架
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_XL,TEH001737_K_XL,服装/服饰配件->女装->女式->外套,9634349,2,2,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001215_WR_S,TEV001215_WR_S,服装/服饰配件->女装->女式->卫衣,9634349,5,5,30,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_S,TEV001108_RR_S,服装/服饰配件->女装->女式->外套,9634349,16,16,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_S,TEV001108_RR_S,服装/服饰配件->女装->女式->外套,9634519,4,4,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_L,TEH001737_K_L,服装/服饰配件->女装->女式->外套,9634519,5,5,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_S,TEH001737_K_S,服装/服饰配件->女装->女式->外套,9634519,1,1,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_S,TEH001737_K_S,服装/服饰配件->女装->女式->外套,9634565,4,4,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_M,TEH001737_K_M,服装/服饰配件->女装->女式->外套,9634565,5,5,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_L,TEV001108_RR_L,服装/服饰配件->女装->女式->外套,9634575,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001215_WR_M,TEV001215_WR_M,服装/服饰配件->女装->女式->卫衣,9634685,5,5,30,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_B_L,TEH001726_B_L,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_BL_S,TEH001726_BL_S,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001215_WR_L,TEV001215_WR_L,服装/服饰配件->女装->女式->卫衣,9634685,5,5,30,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_BL_L,TEH001726_BL_L,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001215_WR_XXL,TEV001215_WR_XXL,服装/服饰配件->女装->女式->卫衣,9634685,5,5,30,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_BL_XXL,TEH001726_BL_XXL,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_AG_XL,TEH001726_AG_XL,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_AG_L,TEH001726_AG_L,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_B_XXL,TEH001726_B_XXL,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_BL_M,TEH001726_BL_M,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_AG_M,TEH001726_AG_M,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_AG_XXL,TEH001726_AG_XXL,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_B_XL,TEH001726_B_XL,服装/服饰配件->女装->女式->长裤,9634685,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_M,TEV001108_RR_M,服装/服饰配件->女装->女式->外套,9634767,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_M,TEV001108_W_M,服装/服饰配件->女装->女式->外套,9634781,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_XXL,TEV001108_W_XXL,服装/服饰配件->女装->女式->外套,9634795,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_S,TEV001108_W_S,服装/服饰配件->女装->女式->外套,9634863,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_M,TEV001108_B_M,服装/服饰配件->女装->女式->外套,9634883,20,,39,田青玉,,"2024-08-20 17:59:31",整箱未上架
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_AG_S,TEH001726_AG_S,服装/服饰配件->女装->女式->长裤,9634942,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_B_S,TEH001726_B_S,服装/服饰配件->女装->女式->长裤,9634942,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001215_WR_XL,TEV001215_WR_XL,服装/服饰配件->女装->女式->卫衣,9634942,5,5,30,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001726_BL_XL,TEH001726_BL_XL,服装/服饰配件->女装->女式->长裤,9634942,5,5,25,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001013_B_XL,TEV001013_B_XL,服装/服饰配件->女装->女式->衬衫,9634942,5,5,33,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_S,TEV001108_B_S,服装/服饰配件->女装->女式->外套,9634942,12,12,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_S,TEV001108_B_S,服装/服饰配件->女装->女式->外套,9634976,8,8,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEH001737_K_XXL,TEH001737_K_XXL,服装/服饰配件->女装->女式->外套,9634976,5,5,55,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_L,TEV001108_W_L,服装/服饰配件->女装->女式->外套,9634992,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_L,TEV001108_B_L,服装/服饰配件->女装->女式->外套,9635066,20,20,39,田青玉,,"2024-08-20 17:59:31",整箱到货
